context
"Filename: TG Booklet 1, Paragraph(s) Number: 102, Content: Integrated Disease Surveillance and Response (IDSR) strategy was adopted by WHO AFRO member states in September 1998 as the approach for improving public health surveillance and response for priority diseases, conditions and events at community, health facility, district and national level. IDSR promotes rational and efficient use of resources by integrating and streamlining common surveillance activities and functions. The IDSR strategy makes surveillance and laboratory data more usable, and this helps public health managers and decision-makers improve detection and response to the leading causes of illness, death and disability in African countries including Malawi. As part of improvement of the healthcare system, IDSR strategy also assists countries to better monitor and track planned targets and ensure that they are achieved in a timely manner."
"Filename: TG Booklet 1, Paragraph(s) Number: 103, Content: Surveillance activities for different diseases involve similar functions (detection, sample collection, reporting, analysis and interpretation, feedback, action) and often use the same structures, processes and personnel. As such, the principles of surveillance are the same whether applied to a single disease, condition or event or multiple diseases. What may differ is whether the target is elimination or eradication, which may require time-limited intensive efforts aimed at proving the absence of disease. "
"Filename: TG Booklet 1, Paragraph(s) Number: 104, Content: What takes place in an integrated system?"
"Filename: TG Booklet 1, Paragraph(s) Number: 105, Content: All surveillance activities are coordinated and streamlined. Rather than using scarce resources to maintain multiple surveillance systems with separate vertical activities, resources are combined to collect, manage and analyse information at a single focal point at each level."
"Filename: TG Booklet 1, Paragraph(s) Number: 106, Content: Several activities are combined into one integrated activity, and take advantage of similar surveillance functions, skills, resources and target populations. For example, surveillance activities for Acute Flaccid Paralysis (AFP) often address surveillance for neonatal tetanus, measles and other Vaccine Preventable Diseases (VPDs) or any unusual events. Thus, health workers who routinely visit health facilities to search for AFP cases also review district and health facility records for information about other priority diseases in the area. HSAs interact with their community members on a regular basis and ask about a range of diseases, conditions and events; communities know they can bring anything unusual to the attention of their focal persons, or through their VHCs."
"Filename: TG Booklet 1, Paragraph(s) Number: 107, Content: The district level is the hub and focus for integrating surveillance functions. The district is the first level in the local health system, which has dedicated staff in all aspects of public health such as planning as well as supporting implementation of Health Sector Strategic Plan (HSSP), monitoring health events in the health facility, and in the community, mobilizing community action, asking for national assistance to protect the district’s health. Similar functions also occur at the various administrative levels."
"Filename: TG Booklet 1, Paragraph(s) Number: 108, Content: Surveillance focal points at the district and national levels collaborate with emergency response committees at each level to plan relevant public health response actions and actively seek opportunities for combining resources."
"Filename: TG Booklet 1, Paragraph(s) Number: 109, Content: The focus is on the creation of an overall public health surveillance system with sufficient capacity for detecting, confirming and responding to diseases, conditions and events. IDSR ensures that the information flow is bi-directional (horizontal and vertical), so that each level is informed of potential outbreaks and response interventions in a timely manner. "
"Filename: TG Booklet 1, Paragraph(s) Number: 110, Content: Integration refers to efficient use of human resource and harmonizing different methods, software, data collection forms, standards and case definitions in order to prevent inconsistent information and maximize efforts among all disease prevention and control programmes and stakeholders. Where possible, a common reporting form, a single data entry system for multiple diseases, and common communication channels are used. Training and supervision are integrated, a common feedback bulletin is used, and other resources such as computers and vehicles are shared. IDSR involves full time coordination of surveillance activities and joint action (planning, implementation, monitoring and evaluation) whenever it is possible and useful. "
"Filename: TG Booklet 1, Paragraph(s) Number: 111, Content: Coordination refers to working or acting together effectively for the rational and efficient use of available but limited resources such as the Health Management Information System (HMIS) and various disease programs. Coordination involves information sharing, joint planning, monitoring and evaluation in order to provide accurate, consistent and relevant data and information to policy-makers and stakeholders at district, and national levels."
"Filename: TG Booklet 1, Paragraph(s) Number: 112, Content: To facilitate coordination and collaboration, national and district multi-sectoral, multidisciplinary co-ordination committees are constituted. It is responsible, at that level, for coordination of surveillance activities in close collaboration or synergy with the committee set up for epidemic response (please see Section 5.0 of these 3rd Edition Malawi IDSR Technical Guidelines)"
"Filename: TG Booklet 1, Paragraph(s) Number: 113, Content: 1.3.1 Objectives of Integrated Disease Surveillance and Response"
"Filename: TG Booklet 1, Paragraph(s) Number: 114, Content: Broad Objective: To improve countries` abilities to detect, investigate, report, confirm, and effectively respond to high-priority communicable, non-communicable diseases and all other public health events"
"Filename: TG Booklet 1, Paragraph(s) Number: 115, Content: The specific objectives of IDSR are to:"
"Filename: TG Booklet 1, Paragraph(s) Number: 116, Content: Strengthen the capacity of countries to conduct effective surveillance activities: train personnel at all levels; develop and carry out plans of action; and advocate and mobilize resources."
"Filename: TG Booklet 1, Paragraph(s) Number: 117, Content: Increase involvement of clinicians and other cadres of health staff in the surveillance activities "
"Filename: TG Booklet 1, Paragraph(s) Number: 118, Content: Integrate multiple surveillance systems so that tools, personnel and resources are used more efficiently."
"Filename: TG Booklet 1, Paragraph(s) Number: 119, Content: Improve the triangulation and use of information to detect changes in trend in order to conduct a rapid response to suspected and confirmed outbreaks; monitor the impact of interventions (for example, declining incidence, spread, and case fatality) and to facilitate evidence-based response to public health events; health policy design; planning; and management"
"Filename: TG Booklet 1, Paragraph(s) Number: 120, Content: Improve the flow of surveillance information between and within levels of the health system using electronic tools."
"Filename: TG Booklet 1, Paragraph(s) Number: 121, Content: Build strong laboratory systems and networks at national and district levels to confirm pathogens and other hazards, monitor of drug sensitivity and increase efficacy of point-of-care tests (PoC tests)"
"Filename: TG Booklet 1, Paragraph(s) Number: 122, Content: Trigger epidemiological investigations of reported public health problems"
"Filename: TG Booklet 1, Paragraph(s) Number: 123, Content: To strengthen implementation of effective public health interventions. "
"Filename: TG Booklet 1, Paragraph(s) Number: 124, Content: Mount an effective response to public health emergencies"
"Filename: TG Booklet 1, Paragraph(s) Number: 125, Content: Emphasize community participation in detection, reporting and response to public health problems including case-based and event-based surveillance and response and risk communication in line with International Health Regulations (IHR)."
